Equipment_ID,Temperature,Pressure,Flow_Rate,Vibration,Humidity,Power_Consumption,Operating_Hours,Failure,Health_Score,Risk_Score,Prediction,Failure_Probability
EQ1000,79.96714153011233,37.88120158988649,89.82257904269167,4.784865175311606,58.48286247666818,511.96114701228873,2083,0,51.28764655438849,60.07,0,0.0
EQ1001,73.61735698828815,37.73292945808073,95.41750805419521,4.951016144389535,57.83323592535667,500.8578801442079,1999,0,52.919588831502196,58.18,0,0.0
EQ1002,81.47688538100692,31.021784136849924,91.03928408432286,5.0964423178813725,45.63480154194509,469.8191453507845,3643,0,52.955336095195214,64.68,0,0.0
EQ1003,90.23029856408026,38.349549041492814,101.6562707041918,6.42029219246927,60.795842217637386,499.8231337406549,1066,1,44.75050642924026,63.36,1,0.955
EQ1004,72.65846625276664,43.66414540910873,117.95767797192869,3.879174037269885,40.09917324423382,534.3589137845061,2606,0,52.97845388598674,60.11,0,0.0
EQ1005,72.6586304305082,33.62883940461602,88.43436764288194,3.7304795127310104,48.45815674239671,491.1686509714812,613,0,57.28991608353911,47.59,0,0.0
EQ1006,90.79212815507391,45.24241325525296,115.01230746652621,6.854929613214463,35.00912187102192,529.3837341161192,3674,1,40.95553702494772,77.92,1,0.965
EQ1007,82.67434729152909,42.43887410542169,88.27491891479669,4.306032887178053,70.58626516962815,441.4331855103867,3215,0,49.61008039601649,66.11,0,0.0
EQ1008,70.30525614065049,39.94663683219861,87.28559181254674,3.105446969634401,52.684505060547046,457.7274444198007,140,0,56.71887448565662,46.06,0,0.0
EQ1009,80.42560043585965,39.292351813310766,112.2789192751482,4.272305086850195,76.66884034816312,448.59756477082175,362,0,51.61076897021741,52.63,0,0.0
EQ1010,70.36582307187538,47.99160903820517,113.82904567011425,4.5049208971339985,63.02949926519495,460.44080397453155,1132,0,50.68376766888731,56.9,0,0.005
EQ1011,70.34270246429743,43.66773906752933,112.77114905143982,7.3324440915886475,59.480982133510246,590.1026732694264,3224,0,46.76520545052175,70.52,0,0.01
EQ1012,77.41962271566034,40.043918274490736,80.26303887672788,6.387239318565106,49.13772305719001,550.8227155177252,1919,0,47.98206723837539,63.55,0,0.01
EQ1013,55.86719755342202,38.81158341519508,93.01073532891924,6.721280924948363,44.5364996431258,424.6153816920958,227,0,54.27264551799863,50.64,0,0.0
EQ1014,57.75082167486967,40.3830453522583,112.34482888004982,6.229960463520179,60.22971573896945,530.6248807485919,2678,0,54.06161442959542,60.44,0,0.005
EQ1015,69.37712470759027,37.44118221028848,100.62312760845842,6.419365507422971,54.28485990727018,472.6592381146001,4720,1,51.37165868876158,71.34,1,0.99
EQ1016,64.87168879665576,29.476252471404926,83.89460730703803,3.967876810129523,41.60729684514699,452.2330790169904,4952,0,60.81223875218225,61.47,0,0.005
EQ1017,78.14247332595274,50.210889552673656,106.87476908688163,4.702096766969773,39.83141583491681,395.9982373994245,3113,0,47.06870864720517,68.57,0,0.07
EQ1018,65.91975924478788,40.776624995997004,89.27789111512794,3.5151270304646767,45.412962708564166,568.0343085674172,3311,0,56.88316816723548,58.8,0,0.0
EQ1019,60.87696298664709,41.99073632561269,126.91787272588319,4.68426795419445,73.2096722526623,404.5295795233003,993,0,55.57208066537189,51.44,0,0.0
EQ1020,89.65648768921554,39.71046125061546,123.17262193627388,6.026157486402111,77.13277918011303,496.3625775393088,2906,1,45.166554220184935,70.13,1,0.96
EQ1021,72.74223699513465,36.32441599637706,109.06146139533351,5.20187492721837,57.0498914730891,433.7582127992592,2379,0,53.24381264847204,59.48,0,0.0
EQ1022,75.67528204687923,39.07037759525615,120.4151005715466,6.967221228440443,56.48942796241288,554.3090762948947,4283,1,47.73482189095289,73.53,1,0.99
EQ1023,60.75251813786544,32.003026189028446,100.97187025185072,3.287876311659171,51.63679628170479,476.59537215802345,2913,0,62.397281459710634,51.43,0,0.0
EQ1024,69.55617275474818,51.385432490266524,111.48156241562523,5.75035752604736,45.65514651690498,490.58761411357585,1887,0,47.078260125374214,64.2,0,0.055
EQ1025,76.10922589709867,33.82744000788802,122.16580442953112,3.127545797196023,68.75179057607244,492.9486015948977,4832,0,57.38116463332314,64.07,0,0.0
EQ1026,63.490064225776976,34.8401685807641,103.68248022691469,5.141264703760464,73.73576393897136,521.1799234455049,2348,0,56.734383892440334,55.81,0,0.0
EQ1027,78.75698018345672,37.798703978068,96.17219242728575,6.1105001338347185,46.06580914160715,500.91033347883166,3133,0,49.03242408606634,67.18,0,0.0
EQ1028,68.99361310081196,46.44037862426189,74.43067062734326,4.678246149763671,54.171616215753986,496.97087677272185,2508,0,51.36927232052432,61.78,0,0.0
EQ1029,72.08306250206724,40.07254499631327,98.75299711417759,5.826689906130434,50.501336992898324,463.7118617321655,2279,0,50.69268343859366,62.0,0,0.0
EQ1030,68.98293387770603,33.81932101984769,112.35134776843466,3.5604014977505987,50.79760925135023,389.7689438660535,276,0,58.65658843324792,44.79,0,0.0
EQ1031,93.52278184508938,46.271691803786695,114.18450141351444,2.5044650327054256,66.85908255429862,421.7014328320701,3223,0,48.42555865954766,66.49,0,0.02
